"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable"
"audit-adjusted-dependence","crossed EFRM null","any raw factorial p below .05",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.164,0.0117091417277271,NA,NA,0,0,0,0,"tools/simval/studies/audit-adjusted-dependence.R","3f1af2fcb6098b5996bda3e0987763f6","08675af+dirty","8a6cc825b06a","2026-08-27","400 persons, 12 dichotomous items in one set, balanced 2 x 2 crossed frame factors; three factorial terms; Holm decisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"audit-adjusted-dependence","crossed EFRM null","Holm factorial familywise error",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067,0.00790638982089803,NA,NA,0,0,0,0,"tools/simval/studies/audit-adjusted-dependence.R","3f1af2fcb6098b5996bda3e0987763f6","08675af+dirty","8a6cc825b06a","2026-08-27","400 persons, 12 dichotomous items in one set, balanced 2 x 2 crossed frame factors; three factorial terms; Holm decisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"audit-adjusted-dependence","crossed EFRM region unit ratio 1.25","Holm-adjusted power for the region main effect",400,400,0,0,0.22314355131421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,0.0221979728804231,0,0,0,0,"tools/simval/studies/audit-adjusted-dependence.R","3f1af2fcb6098b5996bda3e0987763f6","08675af+dirty","8a6cc825b06a","2026-08-27","400 persons, 12 dichotomous items in one set, balanced 2 x 2 crossed frame factors; three factorial terms; Holm decisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"audit-adjusted-dependence","crossed EFRM region unit ratio 1.50","Holm-adjusted power for the region main effect",400,400,0,0,0.405465108108164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,"tools/simval/studies/audit-adjusted-dependence.R","3f1af2fcb6098b5996bda3e0987763f6","08675af+dirty","8a6cc825b06a","2026-08-27","400 persons, 12 dichotomous items in one set, balanced 2 x 2 crossed frame factors; three factorial terms; Holm decisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"audit-adjusted-dependence","BTL dependence null","any raw dependence p below .05",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152,0.0113532374237483,NA,NA,0,0,0,0,"tools/simval/studies/audit-adjusted-dependence.R","3f1af2fcb6098b5996bda3e0987763f6","08675af+dirty","8a6cc825b06a","2026-08-27","8 objects, 30 judges, 12 comparisons per pair; exposure, carry-over and first-position effects fitted jointly; Holm decisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"audit-adjusted-dependence","BTL dependence null","Holm dependence familywise error",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059,0.00745110730026082,NA,NA,0,0,0,0,"tools/simval/studies/audit-adjusted-dependence.R","3f1af2fcb6098b5996bda3e0987763f6","08675af+dirty","8a6cc825b06a","2026-08-27","8 objects, 30 judges, 12 comparisons per pair; exposure, carry-over and first-position effects fitted jointly; Holm decisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"audit-adjusted-dependence","BTL position effect 0.3","Holm-adjusted power for position",400,400,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4175,0.0246573391711271,0,0,0,0,"tools/simval/studies/audit-adjusted-dependence.R","3f1af2fcb6098b5996bda3e0987763f6","08675af+dirty","8a6cc825b06a","2026-08-27","8 objects, 30 judges, 12 comparisons per pair; exposure, carry-over and first-position effects fitted jointly; Holm decisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"audit-adjusted-dependence","BTL position effect 0.6","Holm-adjusted power for position",400,400,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.965,0.00918898797474456,0,0,0,0,"tools/simval/studies/audit-adjusted-dependence.R","3f1af2fcb6098b5996bda3e0987763f6","08675af+dirty","8a6cc825b06a","2026-08-27","8 objects, 30 judges, 12 comparisons per pair; exposure, carry-over and first-position effects fitted jointly; Holm decisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"audit-adjusted-dependence","BTL exposure effect 0.3","Holm-adjusted power for exposure",400,400,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0975,0.0148318702461962,0,0,0,0,"tools/simval/studies/audit-adjusted-dependence.R","3f1af2fcb6098b5996bda3e0987763f6","08675af+dirty","8a6cc825b06a","2026-08-27","8 objects, 30 judges, 12 comparisons per pair; exposure, carry-over and first-position effects fitted jointly; Holm decisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"audit-adjusted-dependence","BTL exposure effect 0.6","Holm-adjusted power for exposure",400,400,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4425,0.0248341372912368,0,0,0,0,"tools/simval/studies/audit-adjusted-dependence.R","3f1af2fcb6098b5996bda3e0987763f6","08675af+dirty","8a6cc825b06a","2026-08-27","8 objects, 30 judges, 12 comparisons per pair; exposure, carry-over and first-position effects fitted jointly; Holm decisions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
