"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes"
"BTL dimensionality pooled-expected reference","binary, null, B = 20","finite simulated upper-tail decision",1000,1000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,0.00581162627841811,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,"tools/simval/studies/btl-dimensionality-reference.R","4ca05b42c9b81f77fa975d489e719ee2","git:145b821+dirty","bceec205f5ba","2026-09-09","pooled observed-minus-fitted expected point residual with symmetric 0.5 continuity; rejection 0.0350, mean p 0.6495 using (1 + exceedances) / (B + 1); 8 objects, 40 outcomes/pair; integer count rows"
"BTL dimensionality pooled-expected reference","ordered response, null, B = 20","finite simulated upper-tail decision",1000,1000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027,0.00512552436341883,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,"tools/simval/studies/btl-dimensionality-reference.R","4ca05b42c9b81f77fa975d489e719ee2","git:145b821+dirty","bceec205f5ba","2026-09-09","pooled observed-minus-fitted expected point residual with symmetric 0.5 continuity; rejection 0.0270, mean p 0.6459 using (1 + exceedances) / (B + 1); 8 objects, 40 outcomes/pair; integer count rows"
"BTL dimensionality pooled-expected reference","binary + position, null, B = 20","finite simulated upper-tail decision",1000,1000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.00493710441453288,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,"tools/simval/studies/btl-dimensionality-reference.R","4ca05b42c9b81f77fa975d489e719ee2","git:145b821+dirty","bceec205f5ba","2026-09-09","pooled observed-minus-fitted expected point residual with symmetric 0.5 continuity; rejection 0.0250, mean p 0.6745 using (1 + exceedances) / (B + 1); 8 objects, 20 outcomes/pair/direction, fitted true position +1.0; integer count rows"
"BTL dimensionality pooled-expected reference","binary, directed cycle 0.75, B = 20","finite simulated upper-tail decision",500,500,0,0,0,0,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,0.00897061870775924,0,0,0,0,0,0,0,0,NA,NA,"tools/simval/studies/btl-dimensionality-reference.R","4ca05b42c9b81f77fa975d489e719ee2","git:145b821+dirty","bceec205f5ba","2026-09-09","pooled observed-minus-fitted expected point residual with symmetric 0.5 continuity; rejection 0.0420, mean p 0.3624 using (1 + exceedances) / (B + 1); 8 objects, 40 outcomes/pair; integer count rows; cycle logit +0.75 on O1>O2>O3>O1"
"BTL dimensionality pooled-expected reference","ordered response, directed cycle 0.75, B = 20","finite simulated upper-tail decision",500,500,0,0,0,0,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,0.0159687194226713,0,0,0,0,0,0,0,0,NA,NA,"tools/simval/studies/btl-dimensionality-reference.R","4ca05b42c9b81f77fa975d489e719ee2","git:145b821+dirty","bceec205f5ba","2026-09-09","pooled observed-minus-fitted expected point residual with symmetric 0.5 continuity; rejection 0.8500, mean p 0.0562 using (1 + exceedances) / (B + 1); 8 objects, 40 outcomes/pair; integer count rows; cycle logit +0.75 on O1>O2>O3>O1"
"BTL dimensionality pooled-expected reference","binary + position, directed cycle 0.75, B = 20","finite simulated upper-tail decision",500,500,0,0,0,0,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,0.0126693330526907,0,0,0,0,0,0,0,0,NA,NA,"tools/simval/studies/btl-dimensionality-reference.R","4ca05b42c9b81f77fa975d489e719ee2","git:145b821+dirty","bceec205f5ba","2026-09-09","pooled observed-minus-fitted expected point residual with symmetric 0.5 continuity; rejection 0.0880, mean p 0.3738 using (1 + exceedances) / (B + 1); 8 objects, 20 outcomes/pair/direction, fitted true position +1.0; integer count rows; cycle logit +0.75 on O1>O2>O3>O1"
"BTL dimensionality pooled-expected reference","binary, directed cycle 1.50, B = 20","finite simulated upper-tail decision",500,500,0,0,0,0,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.732,0.0198078772209442,0,0,0,0,0,0,0,0,NA,NA,"tools/simval/studies/btl-dimensionality-reference.R","4ca05b42c9b81f77fa975d489e719ee2","git:145b821+dirty","bceec205f5ba","2026-09-09","pooled observed-minus-fitted expected point residual with symmetric 0.5 continuity; rejection 0.7320, mean p 0.0707 using (1 + exceedances) / (B + 1); 8 objects, 40 outcomes/pair; integer count rows; cycle logit +1.50 on O1>O2>O3>O1"
"BTL dimensionality pooled-expected reference","ordered response, directed cycle 1.50, B = 20","finite simulated upper-tail decision",500,500,0,0,0,0,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998,0.00199799899899875,0,0,0,0,0,0,0,0,NA,NA,"tools/simval/studies/btl-dimensionality-reference.R","4ca05b42c9b81f77fa975d489e719ee2","git:145b821+dirty","bceec205f5ba","2026-09-09","pooled observed-minus-fitted expected point residual with symmetric 0.5 continuity; rejection 0.9980, mean p 0.0477 using (1 + exceedances) / (B + 1); 8 objects, 40 outcomes/pair; integer count rows; cycle logit +1.50 on O1>O2>O3>O1"
"BTL dimensionality pooled-expected reference","binary + position, directed cycle 1.50, B = 20","finite simulated upper-tail decision",500,500,0,0,0,0,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.612,0.0217924757657316,0,0,0,0,0,0,0,0,NA,NA,"tools/simval/studies/btl-dimensionality-reference.R","4ca05b42c9b81f77fa975d489e719ee2","git:145b821+dirty","bceec205f5ba","2026-09-09","pooled observed-minus-fitted expected point residual with symmetric 0.5 continuity; rejection 0.6120, mean p 0.0821 using (1 + exceedances) / (B + 1); 8 objects, 20 outcomes/pair/direction, fitted true position +1.0; integer count rows; cycle logit +1.50 on O1>O2>O3>O1"
"BTL dimensionality pooled-expected reference","binary, null, B = 200","finite simulated upper-tail decision",1000,1000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.00493710441453287,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,"tools/simval/studies/btl-dimensionality-reference.R","4ca05b42c9b81f77fa975d489e719ee2","git:145b821+dirty","bceec205f5ba","2026-09-09","pooled observed-minus-fitted expected point residual with symmetric 0.5 continuity; rejection 0.0250, mean p 0.6367 using (1 + exceedances) / (B + 1); 8 objects, 40 outcomes/pair; integer count rows"
