"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes"
"joint-dif-wle-maxima","600 one-group null 0","residual-model A rejection",3000,3000,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.057,0.00423284774117851,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/joint-dif-wle-maxima.R","8cd025e8ee64f13e1661243d8563d20b","git:145b821+dirty","77dd22f183ef","2026-09-09","Fixed factor design; correlated A/B; known Gaussian residual model with random person intercept and unequal residual variance; not an end-to-end Rasch calibration claim."
"joint-dif-wle-maxima","600 one-group null 0","residual-model A:ci rejection",3000,3000,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.053,0.00409027301452279,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/joint-dif-wle-maxima.R","8cd025e8ee64f13e1661243d8563d20b","git:145b821+dirty","77dd22f183ef","2026-09-09","Fixed factor design; correlated A/B; known Gaussian residual model with random person intercept and unequal residual variance; not an end-to-end Rasch calibration claim."
"joint-dif-wle-maxima","300 one-group null 0","residual-model A rejection",300,300,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.0333333333333333,0.010363754503432,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/joint-dif-wle-maxima.R","8cd025e8ee64f13e1661243d8563d20b","git:145b821+dirty","77dd22f183ef","2026-09-09","Fixed factor design; correlated A/B; known Gaussian residual model with random person intercept and unequal residual variance; not an end-to-end Rasch calibration claim."
"joint-dif-wle-maxima","300 one-group null 0","residual-model A:ci rejection",300,300,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.0466666666666667,0.0121776966745069,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/joint-dif-wle-maxima.R","8cd025e8ee64f13e1661243d8563d20b","git:145b821+dirty","77dd22f183ef","2026-09-09","Fixed factor design; correlated A/B; known Gaussian residual model with random person intercept and unequal residual variance; not an end-to-end Rasch calibration claim."
"joint-dif-wle-maxima","600 differential null 0","residual-model A rejection",300,300,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.03,0.0098488578017961,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/joint-dif-wle-maxima.R","8cd025e8ee64f13e1661243d8563d20b","git:145b821+dirty","77dd22f183ef","2026-09-09","Fixed factor design; correlated A/B; known Gaussian residual model with random person intercept and unequal residual variance; not an end-to-end Rasch calibration claim."
"joint-dif-wle-maxima","600 differential null 0","residual-model A:ci rejection",300,300,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.04,0.0113137084989848,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/joint-dif-wle-maxima.R","8cd025e8ee64f13e1661243d8563d20b","git:145b821+dirty","77dd22f183ef","2026-09-09","Fixed factor design; correlated A/B; known Gaussian residual model with random person intercept and unequal residual variance; not an end-to-end Rasch calibration claim."
"joint-dif-wle-maxima","600 one-group uniform 0.4","residual-model A rejection",200,200,0,0,0,0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,0.00989949493661167,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/joint-dif-wle-maxima.R","8cd025e8ee64f13e1661243d8563d20b","git:145b821+dirty","77dd22f183ef","2026-09-09","Fixed factor design; correlated A/B; known Gaussian residual model with random person intercept and unequal residual variance; not an end-to-end Rasch calibration claim."
"joint-dif-wle-maxima","600 one-group uniform 0.4","residual-model A:ci rejection",200,200,0,0,0,0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055,0.0161206389451535,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/joint-dif-wle-maxima.R","8cd025e8ee64f13e1661243d8563d20b","git:145b821+dirty","77dd22f183ef","2026-09-09","Fixed factor design; correlated A/B; known Gaussian residual model with random person intercept and unequal residual variance; not an end-to-end Rasch calibration claim."
"joint-dif-wle-maxima","600 one-group uniform 0.8","residual-model A rejection",200,200,0,0,0,0,0,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/joint-dif-wle-maxima.R","8cd025e8ee64f13e1661243d8563d20b","git:145b821+dirty","77dd22f183ef","2026-09-09","Fixed factor design; correlated A/B; known Gaussian residual model with random person intercept and unequal residual variance; not an end-to-end Rasch calibration claim."
"joint-dif-wle-maxima","600 one-group uniform 0.8","residual-model A:ci rejection",200,200,0,0,0,0,0,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.0191833260932509,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/joint-dif-wle-maxima.R","8cd025e8ee64f13e1661243d8563d20b","git:145b821+dirty","77dd22f183ef","2026-09-09","Fixed factor design; correlated A/B; known Gaussian residual model with random person intercept and unequal residual variance; not an end-to-end Rasch calibration claim."
"joint-dif-wle-maxima","600 one-group nonuniform 0.4","residual-model A rejection",200,200,0,0,0,0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.0167928556237467,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/joint-dif-wle-maxima.R","8cd025e8ee64f13e1661243d8563d20b","git:145b821+dirty","77dd22f183ef","2026-09-09","Fixed factor design; correlated A/B; known Gaussian residual model with random person intercept and unequal residual variance; not an end-to-end Rasch calibration claim."
"joint-dif-wle-maxima","600 one-group nonuniform 0.4","residual-model A:ci rejection",200,200,0,0,0,0,0,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.925,0.0186245805321892,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/joint-dif-wle-maxima.R","8cd025e8ee64f13e1661243d8563d20b","git:145b821+dirty","77dd22f183ef","2026-09-09","Fixed factor design; correlated A/B; known Gaussian residual model with random person intercept and unequal residual variance; not an end-to-end Rasch calibration claim."
"joint-dif-wle-maxima","600 one-group nonuniform 0.8","residual-model A rejection",200,200,0,0,0,0,0,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.0120623380818148,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/joint-dif-wle-maxima.R","8cd025e8ee64f13e1661243d8563d20b","git:145b821+dirty","77dd22f183ef","2026-09-09","Fixed factor design; correlated A/B; known Gaussian residual model with random person intercept and unequal residual variance; not an end-to-end Rasch calibration claim."
"joint-dif-wle-maxima","600 one-group nonuniform 0.8","residual-model A:ci rejection",200,200,0,0,0,0,0,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,"tools/simval/studies/joint-dif-wle-maxima.R","8cd025e8ee64f13e1661243d8563d20b","git:145b821+dirty","77dd22f183ef","2026-09-09","Fixed factor design; correlated A/B; known Gaussian residual model with random person intercept and unequal residual variance; not an end-to-end Rasch calibration claim."
